statement_label	statement_type	short_claim_name	current_toc_file	lean_handles	dependency_class	downstream_owner	downstream_treatment	notes
thm:counting-gap-intro	theorem	Counting Gap	latex_toc/content/01_introduction.tex:17	BA10	physical	C	cite only	Intro preview with bounded-capacity/event-cost framing; keep out of Papers A and B as a full theorem.
thm:bayes-optimal	theorem	Bayes Minimizes Expected Log Loss	latex_toc/content/01_introduction.tex:36	FN7,FN12,FN14	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:measure-prerequisite	theorem	Measure-Theoretic Typing	latex_toc/content/01_introduction.tex:56	MN1,MN2,MN10,MN11	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:quotient-universal	theorem	Universal Property of the Optimizer Quotient	latex_toc/content/01_introduction.tex:77	QT1,QT2,QT3,QT5,QT7	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:checking-duality	theorem	Checking-Witnessing Duality	latex_toc/content/01_introduction.tex:100	WD1,WD2,WD3	A-only	A	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:bayes-from-counting	theorem	Probability Axioms from Counting	latex_toc/content/01_introduction.tex:119	BC1,BC2,BC3,BC4,BC5	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:fisher-rank-srank	theorem	Fisher Information = Structural Rank	latex_toc/content/01_introduction.tex:143	SK1,SK2,SK3,FS1,FS2	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:entropy-rank	theorem	Entropy Bounded by Structural Rank	latex_toc/content/01_introduction.tex:167	IT3,IT4	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:fi-coincide	theorem	Thermodynamic Cost from Counting	latex_toc/content/01_introduction.tex:186	FI3,FI6,FI7,WC1,WC2,WC3,WM1,WM3,WM4,WM5,WM6,WR1,WR2,WR3,WR4,WR5,WR6,WR7,WR8,WR9,WR10,WP1,WP5,WP6,WP7,WP8	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:wasserstein-bridge	theorem	Wasserstein Distance = Structural Rank	latex_toc/content/01_introduction.tex:197	W1,W2,W3,W4	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:rate-distortion-bridge	theorem	Rate-Distortion = Structural Rank	latex_toc/content/01_introduction.tex:208	RD1,RD2,RD3,RS1,RS2,RS3,RS4,RS5	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:nontriviality-counting	theorem	Information Requires Nontriviality	latex_toc/content/01_introduction.tex:219	FP1,FP2,FP3,FP4,FP5,FP6,FP7	B-only	B	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:second-law-counting	theorem	Second Law Structure from Counting	latex_toc/content/01_introduction.tex:230	FP8,FP9,FP10,FP11,FP12,FP13,FP14	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:landauer-structure	theorem	Erasure Increases Environment Entropy	latex_toc/content/01_introduction.tex:241	FP15	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
def:empirical-claims	definition	Irreducible Empirical Claim EC1	latex_toc/content/01_introduction.tex:256	IA7,IA9,IA11,IA12,IA13	physical	C	shortened recap	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:ec2-derived	theorem	EC2 Derived from Uncertainty	latex_toc/content/01_introduction.tex:260	IA7,IA9,IA11,IA12,IA13	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:ec3-derived	theorem	EC3 Derived from Non-Contradiction	latex_toc/content/01_introduction.tex:274		physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:assumption-necessity	theorem	Physical Claims Need Empirically Justified Assumptions	latex_toc/content/01_introduction.tex:297	AN3,AN4	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:energy-information	theorem	Energy Lower Bound	latex_toc/content/01_introduction.tex:316	EI1	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
thm:tur-bridge	theorem	TUR Bridge (Conditional)	latex_toc/content/01_introduction.tex:339	TUR1,TUR2,TUR5,TUR6	physical	C	cite only	Intro preview statement; downstream papers should cite or briefly preview the owned result rather than duplicate the full theorem block in the introduction.
def:decision-problem	definition	Decision Problem	latex_toc/content/02_formal_foundations.tex:10		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:projection	definition	Projection	latex_toc/content/02_formal_foundations.tex:20		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:optimizer	definition	Optimizer Map	latex_toc/content/02_formal_foundations.tex:28		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:sufficient	definition	Sufficient Coordinate Set	latex_toc/content/02_formal_foundations.tex:37		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:empty-sufficient-constant	proposition	Empty-Set Sufficiency Equals Constant Decision Boundary	latex_toc/content/02_formal_foundations.tex:46	DP6	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:insufficiency-counterexample	proposition	Insufficiency Equals Counterexample Witness	latex_toc/content/02_formal_foundations.tex:57		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:selector	definition	Deterministic Selector	latex_toc/content/02_formal_foundations.tex:75		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:selector-sufficient	definition	Selector-Level Sufficiency	latex_toc/content/02_formal_foundations.tex:79	DP5	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:set-to-selector	proposition	Set-Level Target Dominates Selector Targets	latex_toc/content/02_formal_foundations.tex:86	DP5	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:epsilon-sufficiency	definition	$\varepsilon$-Optimal Set and $\varepsilon$-Sufficiency	latex_toc/content/02_formal_foundations.tex:95		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:zero-epsilon-reduction	proposition	Zero-$\varepsilon$ Reduction	latex_toc/content/02_formal_foundations.tex:108	DP1,DP4,CC54	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:selector-separation	proposition	Selector-Level Separation Witness	latex_toc/content/02_formal_foundations.tex:117	CC54	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:minimal-sufficient	definition	Minimal Sufficient Set	latex_toc/content/02_formal_foundations.tex:122		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:relevant	definition	Relevant Coordinate	latex_toc/content/02_formal_foundations.tex:126		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:minimal-relevant-equiv	proposition	Minimal-Set/Relevance Equivalence	latex_toc/content/02_formal_foundations.tex:135	DP2,DP3	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:srank-support	proposition	Structural Rank as Relevant-Support Size	latex_toc/content/02_formal_foundations.tex:149	SK1,SK2,SK3	B-only	B	full statement	Coimage/quotient/information-geometry foundation owned canonically by Paper B.
def:exact-identifiability	definition	Exact Relevance Identifiability	latex_toc/content/02_formal_foundations.tex:166		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:decision-equiv	definition	Decision Equivalence	latex_toc/content/02_formal_foundations.tex:189		shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:decision-quotient	definition	Decision-Quotient Score	latex_toc/content/02_formal_foundations.tex:193	CC62	B-only	B	full statement	Coimage/quotient/information-geometry foundation owned canonically by Paper B.
prop:sufficiency-char	proposition	Sufficiency Characterization	latex_toc/content/02_formal_foundations.tex:201	CC62,CC63	shared-foundation	A	full statement	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
prop:optimizer-coimage	proposition	Optimizer Quotient as Coimage/Image Factorization	latex_toc/content/02_formal_foundations.tex:216	QT5,QT7	B-only	B	full statement	Coimage/quotient/information-geometry foundation owned canonically by Paper B.
prop:optimizer-entropy-image	proposition	Optimizer Quotient Entropy as Image-Size Entropy	latex_toc/content/02_formal_foundations.tex:238	IT1,IT2,QT5	B-only	B	full statement	Coimage/quotient/information-geometry foundation owned canonically by Paper B.
thm:abstraction-boundary	theorem	Decision-Preserving Collapse Boundary	latex_toc/content/02_formal_foundations.tex:258	QT5,AB1,AB2,AB3,AB4	physical	C	cite only	Mixed theorem with an explicitly physical second clause; keep the full mixed statement out of Paper A and Paper B.
rem:question-vs-problem	remark	Decision Questions vs Decision Problems	latex_toc/content/02_formal_foundations.tex:315		shared-foundation	A	shortened recap	Shared foundation owned canonically in Paper A; copy intentionally into Paper B as needed.
def:anchor-query-object	definition	Anchor Query Object	latex_toc/content/02_formal_foundations.tex:319		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:pose-anchor-query	definition	Pose Operation for Anchor Queries	latex_toc/content/02_formal_foundations.tex:331	AQ1	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:pose-anchor-object	proposition	Posing Produces a Formal Query Object	latex_toc/content/02_formal_foundations.tex:339	AQ1,AQ2,AQ3	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:posed-anchor-typed-exact	proposition	Typed Exact Claims on Posed Anchor Queries	latex_toc/content/02_formal_foundations.tex:347	AQ4,AQ5,AQ6,AQ7	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
cor:posed-anchor-certified-gate	corollary	Certified-Confidence Gate for Posed Anchor Queries	latex_toc/content/02_formal_foundations.tex:361	AQ8	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:under-resolution-collision	proposition	Under-Resolution Forces Representation Collision	latex_toc/content/02_formal_foundations.tex:367	PI6,PI7	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:physical-incompleteness	theorem	Physical Incompleteness of Instantiation	latex_toc/content/02_formal_foundations.tex:377	PI3,PI4,PI5	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:regime-simulation	definition	Regime Simulation	latex_toc/content/02_formal_foundations.tex:388	CC1,CC52	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
rem:uniform-assumption-discipline	remark	Uniform Assumption Discipline	latex_toc/content/02_formal_foundations.tex:422		physical	C	shortened recap	Physical/claim-discipline foundation; keep out of Papers A and B.
rem:modal-should	remark	Modal Convention: Contract-Conditional Necessity	latex_toc/content/02_formal_foundations.tex:427		physical	C	shortened recap	Physical/claim-discipline foundation; keep out of Papers A and B.
def:timed-interface-state	definition	Timed Interface State	latex_toc/content/02_formal_foundations.tex:434		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:decision-tick-event	definition	Decision Tick and Decision Event	latex_toc/content/02_formal_foundations.tex:442		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:time-discrete	proposition	Time Coordinate Is Discrete	latex_toc/content/02_formal_foundations.tex:454	DT6,DT7	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:decision-unit-time	proposition	Decision Event Is One Unit of Time	latex_toc/content/02_formal_foundations.tex:466	DT13,DT11,DT10,DT12	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:run-time-accounting	proposition	Run Accounting Identity	latex_toc/content/02_formal_foundations.tex:478	DT15,DT16,DT18,DT19	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:substrate-unit-time	proposition	Substrate Realization Preserves Unit-Time Events	latex_toc/content/02_formal_foundations.tex:492	DT22,DT23,DT24	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:physical-core-encoding	definition	Physical-to-Core Encoding	latex_toc/content/02_formal_foundations.tex:501		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:physical-scope-gate	definition	Physical Scope Gate	latex_toc/content/02_formal_foundations.tex:509		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:typed-physical-transport-requirement	proposition	Typed Physical Transport Requirement	latex_toc/content/02_formal_foundations.tex:521	PS3,PS4	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:heisenberg-strong-nontrivial-opt	proposition	Heisenberg-Strong Binding Yields Nontrivial Decision Boundary	latex_toc/content/02_formal_foundations.tex:532	HS3,HS5,HS6	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:physical-claim-transport	proposition	Physical Claim Transport	latex_toc/content/02_formal_foundations.tex:540		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
cor:physical-counterexample-core-failure	corollary	Physical Counterexample Implies Core Failure on Encoded Slice	latex_toc/content/02_formal_foundations.tex:556	CT4,CT5,CT6	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:law-instance-objective-bridge	proposition	Law-Instance Objective Bridge	latex_toc/content/02_formal_foundations.tex:566	CT1,CT2	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:physical-bridge-bundle	theorem	Physical Bridge Bundle	latex_toc/content/02_formal_foundations.tex:576	CT4	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:regime-coverage	theorem	Declared Regime Coverage for the Static Class	latex_toc/content/02_formal_foundations.tex:587	CC14,CC51	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:adjacent-sequential-regime	definition	Adjacent Sequential Objective Regime	latex_toc/content/02_formal_foundations.tex:617		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:one-step-bridge	proposition	One-Step Deterministic Bridge	latex_toc/content/02_formal_foundations.tex:627	CC42	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:bridge-transfer-scope	proposition	Bridge Transfer Rule	latex_toc/content/02_formal_foundations.tex:643	CC42	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:bridge-failure-horizon	remark	Extension Boundary	latex_toc/content/02_formal_foundations.tex:654	CC26,CC25	physical	C	shortened recap	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:bridge-failure-horizon	proposition	Horizon-$>1$ Bridge-Failure Witness	latex_toc/content/02_formal_foundations.tex:658	CC26,CC25,CC57	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:bridge-failure-stochastic	proposition	Stochastic-Criterion Bridge-Failure Witness	latex_toc/content/02_formal_foundations.tex:664	CC57,CC73	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:bridge-failure-transition	proposition	Transition-Coupled Bridge-Failure Witness	latex_toc/content/02_formal_foundations.tex:669	CC73,CC10	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:bridge-boundary-represented	theorem	Exact Bridge Boundary in the Represented Adjacent Family	latex_toc/content/02_formal_foundations.tex:674	CC10,CC9,CC8	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:system-snapshot-process	definition	System Snapshot vs System Process Typing	latex_toc/content/02_formal_foundations.tex:685	CC3,CC48	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:snapshot-process-typing	proposition	Snapshot/Process Transfer Typing	latex_toc/content/02_formal_foundations.tex:693	CC3,CC48,CC56	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:structural-complexity	definition	Structural Complexity	latex_toc/content/02_formal_foundations.tex:710	HD17,HD22,HD23,HD18,HD27,HD28	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:representational-hardness	definition	Representational Hardness	latex_toc/content/02_formal_foundations.tex:714	HD17,HD22,HD23,HD18,HD27,HD28	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:typed-completeness-static	remark	Interpretation Contract	latex_toc/content/02_formal_foundations.tex:720	HD17,HD22,HD23,HD18,HD27,HD28	physical	C	shortened recap	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:typed-completeness-static	theorem	Typed Completeness for the Static Sufficiency Class	latex_toc/content/02_formal_foundations.tex:725	CC76	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:certifying-solver	definition	Certifying Solver	latex_toc/content/02_formal_foundations.tex:745		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:induced-solver-relation	definition	Induced Solver Relation	latex_toc/content/02_formal_foundations.tex:753		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:universal-solver-framing	proposition	Universality of Solver Framing	latex_toc/content/02_formal_foundations.tex:763	CC77	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:solver-integrity	definition	Solver Integrity	latex_toc/content/02_formal_foundations.tex:773		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:competence-regime	definition	Competence Under a Regime	latex_toc/content/02_formal_foundations.tex:782		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
cor:integrity-universal	corollary	Universality of Integrity Applicability	latex_toc/content/02_formal_foundations.tex:791	CC31	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
rem:external-task-nonvacuity	remark	External-Task Non-Vacuity	latex_toc/content/02_formal_foundations.tex:803		physical	C	shortened recap	Physical/claim-discipline foundation; keep out of Papers A and B.
def:epsilon-objective-family	definition	$\varepsilon$-Objective Relation Family	latex_toc/content/02_formal_foundations.tex:809		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:epsilon-competence-regime	definition	$\varepsilon$-Competence Under a Regime	latex_toc/content/02_formal_foundations.tex:818		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:zero-epsilon-competence	proposition	Zero-$\varepsilon$ Competence Reduction	latex_toc/content/02_formal_foundations.tex:823	IC33,IC19	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
def:typed-claim-report	definition	Typed Claim Report	latex_toc/content/02_formal_foundations.tex:835		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
